Order Number,Definition,Part_of_Speech,Correct_Character,Correct_Pinyin,Frequency,Usage,Choice_A_Char,Choice_A_Pinyin,Choice_B_Char,Choice_B_Pinyin,Choice_C_Char,Choice_C_Pinyin,Choice_D_Char,Choice_D_Pinyin,Choice_E_Char,Choice_E_Pinyin,Correct_Choice
11,"Benefit, profit, or advantage; also means sharp or favorable. Commonly used in business and economic contexts to refer to gains or interests.",noun/adjective,利,li4,800,"Found in words like 利益 (benefit/interest), 胜利 (victory), and 利用 (to utilize)",飞,fei1,张,zhang1,利,li4,些,xie1,明,ming2,C
12,The first-person singular pronoun meaning 'I' or 'me'. One of the most fundamental and frequently used words in Mandarin Chinese.,pronoun,我,wo3,789,Used as the subject (我是学生 - I am a student) or object (他看见我 - He sees me) in sentences,吃,chi1,脑,nao3,室,shi4,我,wo3,形,xing2,D
13,An onomatopoeia representing laughter or a sound of exhaling; also used as a phonetic component in transliterations of foreign words,onomatopoeia/interjection,哈,ha1,718,"Common in expressions like 哈哈 (haha, laughter) and names like 哈尔滨 (Harbin)",哈,ha1,黑,hei1,低,di1,再,zai4,弗,fu2,A
14,"To say, speak, or talk; to explain or tell something to someone.",verb,说,shuo1,692,"Common in everyday conversation, as in 说话 (to speak) or 他说 (he says)",相,xiang1,说,shuo1,直,zhi2,杖,zhang4,场,chang3,B
15,Plural suffix added to pronouns and nouns referring to people to indicate more than one person.,particle,们,men,653,"Used in words like 我们 (we/us), 你们 (you all), 孩子们 (children)",父,fu4,非,fei1,全,quan2,再,zai4,们,men,E
16,"To have, to possess, or to exist. This is one of the most fundamental verbs in Mandarin, used to indicate possession or the existence of something.",verb,有,you3,648,Common in phrases like 我有书 (I have a book) or 有问题 (there is a problem),盯,ding1,死,si3,轻,qing1,有,you3,飞,fei1,D
17,"Indicates upward direction, position above, or going onto/up something; also means 'previous' or 'last' when referring to time, and 'to go to' or 'to attend' as a verb.",noun/verb/localizer,上,shang4,620,"Common in phrases like 上面 (above/on top), 上车 (get on a vehicle), 上课 (attend class), 上个月 (last month)",伤,shang1,目,mu4,上,shang4,吧,ba,精,jing1,C
18,"The second-person singular pronoun meaning 'you', used when addressing one person directly.",pronoun,你,ni3,614,Used in greetings like 你好 (hello) and questions like 你叫什么名字? (What's your name?),你,ni3,瞪,deng4,应,ying1,但,dan4,物,wu4,A
19,"Inside, within, or in; indicates location or position inside something. Also used as a unit of distance (Chinese mile, approximately 0.5 km).",noun/localizer,里,li3,610,"Common in phrases like 家里 (at home), 心里 (in one's heart), 这里 (here)",注,zhu4,花,hua1,全,quan2,低,di1,里,li3,E
20,"Demonstrative pronoun meaning 'this' or 'these', used to indicate something close to the speaker in space, time, or context.",pronoun,这,zhe4,574,"Used in phrases like 这个 (this one), 这里 (here), 这是 (this is)",这,zhe4,哪,na3,句,ju4,林,lin2,方,fang1,A
21,To come or arrive; to move toward the speaker or a reference point. Also used as a verb complement indicating direction toward the speaker.,verb,来,lai2,525,"Common in phrases like 来中国 (come to China), 过来 (come over), 起来 (get up/rise up)",来,lai2,花,hua1,非,fei1,弗,fu2,倒,dao4,A
22,"Demonstrative pronoun meaning 'that' or 'those', used to refer to something distant from the speaker. Can also function as 'in that case' or 'then' when used as a conjunction.",pronoun/conjunction,那,na4,477,"Common in phrases like 那个 (that one), 那里 (there), 那么 (then/in that case)",放,fang4,猫,mao1,工,gong1,全,quan2,那,na4,E
23,Person or people; human being. One of the most fundamental Chinese characters referring to individuals or humanity in general.,noun,人,ren2,476,"Used in countless compounds like 中国人 (Chinese person), 人们 (people), 好人 (good person)",芬,fen1,窗,chuang1,人,ren2,重,zhong4,通,tong1,C
24,To arrive at or reach a destination; also used as a resultative complement meaning 'successfully completed' or 'up until (a time)'.,verb,到,dao4,469,"Common in phrases like 到了 (arrived), 看到 (saw/catch sight of), 从...到... (from...to...)",喊,han3,兴,xing1,到,dao4,并,bing4,主,zhu3,C
25,"A suffix particle used at the end of questions and certain words to soften tone or indicate uncertainty. Most commonly seen in question words like 什么 (shénme, what) and 怎么 (zěnme, how).",particle,么,me,454,Rarely used alone; typically appears as part of compound question words,满,man3,精,jing1,么,me,恶,e4,实,shi2,C
26,"A grammatical particle used to move the object before the verb, emphasizing that an action is done to something specific. Also used as a measure word for objects with handles or things that can be grasped.",particle/measure word,把,ba3,433,Common in sentences like 把门关上 (close the door) or 一把椅子 (a chair),把,ba3,影,ying3,抬,tai2,今,jin1,轻,qing1,A
27,"To look at, to see, or to watch; also means to read or to visit someone.",verb,看,kan4,419,"Common in phrases like 看书 (read a book), 看电视 (watch TV), 看医生 (see a doctor)",看,kan4,迪,di2,堂,tang2,活,huo2,夜,ye4,A
28,"To get, obtain, or acquire something; to gain or receive.",verb,得,de2,399,Common in phrases like 得到 (to obtain) and 获得 (to gain). Also means 'must' when followed by a verb.,挥,hui1,麦,mai4,得,de2,注,zhu4,猫,mao1,C
29,Negation word meaning 'not have' or 'did not'; used to negate past actions or indicate absence/lack of something.,adverb,没,mei2,371,"Common in phrases like 没有 (don't have/didn't), 没关系 (it doesn't matter), and 我没去 (I didn't go)",满,man3,早,zao3,怀,huai2,疤,ba1,没,mei2,E
30,"A conjunction meaning 'and' that connects nouns, pronouns, or noun phrases together.",conjunction,和,he2,358,"Used in phrases like 你和我 (you and me), 苹果和橙子 (apples and oranges)",送,song4,和,he2,新,xin1,杀,sha1,魁,kui2,B
31,"Big, large, or great in size, scale, or importance. One of the most fundamental adjectives in Mandarin for describing physical size or significance.",adjective,大,da4,356,"Used in common words like 大学 (university), 大家 (everyone), and 大小 (size)",大,da4,花,hua1,工,gong1,除,chu2,挥,hui1,A
32,"An adverb expressing 'then', 'right away', 'just', or 'only' to emphasize immediacy, limitation, or consequence. Also used to indicate something happening earlier than expected or as soon as a condition is met.",adverb,就,jiu4,352,"Common in patterns like 就是 (exactly/precisely), 我就来 (I'm coming right away), or 一...就... (as soon as...then...)",传,chuan2,就,jiu4,护,hu4,微,wei1,鼻,bi2,B
33,"Sound, voice, or noise. Also used as a measure word for sounds or utterances.",noun/measure word,声,sheng1,338,"Common in words like 声音 (sound), 大声 (loud voice), and phrases like 一声 (one sound/utterance)",乐,le4,简,jian3,绝,jue2,密,mi4,声,sheng1,E
34,"Way, path, or road; also means to say or speak. In philosophy, refers to 'the Way' or fundamental principle (as in Daoism).",noun/verb/measure word,道,dao4,321,"Common as a measure word for questions, orders, or dishes (一道菜 - one dish), and in words like 知道 (to know) and 道路 (road)",秒,miao3,皱,zhou4,通,tong1,受,shou4,道,dao4,E
35,Adverb meaning 'all' or 'both' that indicates inclusiveness of everything or everyone mentioned. Also used to mean 'already' or 'even' in certain contexts.,adverb,都,dou1,315,"Placed before verbs, as in 我们都是学生 (we are all students) or 都十点了 (it's already 10 o'clock)",忘,wang4,玩,wan2,围,wei2,都,dou1,极,ji2,D
36,"Particle indicating past experience or completed action, meaning 'have ever done' or 'have been to'. Also used as a verb meaning 'to pass' or 'to cross'.",particle/verb,过,guo4,299,As particle: 我去过中国 (I have been to China). As verb: 过马路 (cross the street),掏,tao1,过,guo4,卡,ka3,工,gong1,翻,fan1,B
37,Auxiliary verb meaning 'can' or 'to know how to' (indicating learned ability); also means 'will' (indicating future possibility) or 'meeting/gathering' as a noun.,auxiliary verb/noun,会,hui4,294,Used before verbs like 我会说中文 (I can speak Chinese) or 明天会下雨 (It will rain tomorrow),疼,teng2,哝,nong2,会,hui4,实,shi2,怀,huai2,C
38,Head (the body part); also used as a suffix for nouns and as a measure word for certain animals,noun/measure word,头,tou2,293,"Common in words like 石头 (stone), 木头 (wood), and counting livestock like 一头牛 (one cow)",草,cao3,品,pin3,准,zhun3,头,tou2,休,xiu1,D
39,"To go out, exit, or come out from inside to outside; also means to produce or appear.",verb,出,chu1,282,"Common in words like 出去 (go out), 出来 (come out), 出门 (leave home/go out)",仔,zai3,血,xue4,混,hun4,出,chu1,投,tou2,D
40,"Many, much, or a lot; indicates a large quantity or number of something. Also used in questions to ask 'how much/many' or 'how' (as in 'how old').",adjective,多,duo1,280,"Common in phrases like 很多 (very many), 多少 (how much/many), 多大 (how old)",费,fei4,冰,bing1,多,duo1,活,huo2,路,lu4,C
41,"Demon, devil, or magic; refers to supernatural evil forces or magical powers. Often used in compound words related to fantasy, supernatural beings, or obsessive behavior.",noun,魔,mo2,275,"Common in words like 魔鬼 (devil), 魔法 (magic), 恶魔 (demon), and 着魔 (bewitched/obsessed)",疤,ba1,恶,e4,疼,teng2,魔,mo2,游,you2,D
42,To want or to need; also used as an auxiliary verb to express future intention or necessity (will/going to/must).,verb/auxiliary verb,要,yao4,272,Common in expressions like 我要水 (I want water) or 我要去 (I'm going to go),睁,zheng1,吉,ji2,餐,can1,图,tu2,要,yao4,E
43,To go; to leave for a place or move away from the current location.,verb,去,qu4,270,Common in phrases like 去学校 (go to school) or 我去 (I'm going). Often paired with destination words.,去,qu4,朵,duo3,施,shi1,怀,huai2,灰,hui1,A
44,"A noun suffix that forms nouns from other words, often indicating small objects or familiar things; also means 'child' or 'son' in classical Chinese.",suffix/noun,子,zi,269,"Commonly attached to words like 桌子 (table), 椅子 (chair), 孩子 (child), 儿子 (son)",子,zi,钻,zuan1,傻,sha3,骑,qi2,体,ti3,A
45,A question word meaning 'what' that appears in the common compound 什么 (shénme). Rarely used alone in modern Mandarin.,pronoun,什,shen2,268,"Almost always appears in the word 什么 (what), as in 你要什么? (What do you want?)",什,shen2,弩,nu3,遍,bian4,错,cuo4,恐,kong3,A
46,"To think, to want, or to miss someone/something. This versatile verb expresses thoughts, desires, and feelings of longing.",verb,想,xiang3,264,"Common in phrases like 我想你 (I miss you), 想吃 (want to eat), 我想... (I think...)",街,jie1,掏,tao1,爵,jue2,挥,hui1,想,xiang3,E
47,"Adverb meaning 'also', 'too', or 'as well', used to indicate that something applies in addition to what was previously mentioned.",adverb,也,ye3,260,"Typically placed before the verb or adjective, as in 我也是 (I am too) or 他也去 (he's also going)",危,wei1,徽,hui1,踪,zong1,也,ye3,却,que4,D
48,"Means 'down', 'below', or 'under' as a position word; also used as a verb meaning 'to go down', 'to get off', or 'next' (as in next time).",noun/verb,下,xia4,253,"Common in directional phrases like 下去 (go down), 下车 (get off a vehicle), 下面 (below/underneath), and time expressions like 下次 (next time)",痛,tong4,敲,qiao1,下,xia4,俩,lia3,哮,xiao1,C
49,"To see, to meet, or to perceive. Also used to indicate passive voice or the result of an action being experienced.",verb,见,jian4,253,"Common in words like 看见 (to see), 见面 (to meet), and 再见 (goodbye, literally 'see you again')",产,chan3,兹,zi1,森,sen1,绝,jue2,见,jian4,E
50,"Can, able to, or be capable of doing something. Expresses ability or possibility.",auxiliary verb,能,neng2,244,Used before verbs like 我能说中文 (I can speak Chinese),朵,duo3,拖,tuo1,藏,cang2,能,neng2,支,zhi1,D
51,"A measure word (classifier) used for counting animals, birds, and certain objects like boats or hands. Also means 'only' or 'just' (though that usage has a different pronunciation: zhi3).",measure word / adverb,只,zhi3,239,"Common in phrases like 一只猫 (one cat), 两只鸟 (two birds), or 只有 (only have)",除,chu2,匙,shi,只,zhi3,爵,jue2,翻,fan1,C
52,"Small, little, or young; describes size, age, or importance that is less than average or expected.",adjective,小,xiao3,239,"Common in words like 小孩 (child), 小狗 (puppy), and as a prefix for names to show affection",寸,cun4,极,ji2,小,xiao3,贴,tie1,承,cheng2,C
53,"A preposition meaning 'from' that indicates a starting point in time, place, or direction. Also means 'to follow' or 'since' depending on context.",preposition,从,cong2,237,"Common in phrases like 从...到... (from...to...), 从今天开始 (starting from today), 从中国来 (come from China)",脱,tuo1,薇,wei1,从,cong2,味,wei4,吁,xu1,C
54,"To rise, get up, or start; indicates the beginning of an action or upward movement.",verb,起,qi3,231,Common in phrases like 起来 (qǐlái - to get up/rise) and 起床 (qǐchuáng - to get out of bed),起,qi3,值,zhi2,节,jie2,坚,jian1,扎,zha1,A
55,"To give birth, to be born, or to grow; also means raw or uncooked, and living or alive.",verb/adjective,生,sheng1,229,"Common in words like 学生 (student, literally 'studying person'), 生日 (birthday), and 生病 (to get sick)",哝,nong2,居,ju1,施,shi1,生,sheng1,篇,pian1,D
56,"Can, may, or able to; expresses permission or possibility. Also used to mean 'but' or as an intensifier in certain contexts.",auxiliary verb/adverb,可,ke3,222,"Common in phrases like 可以 (kěyǐ - can/may), 可是 (kěshì - but), and 可爱 (kě'ài - cute)",梅,mei2,皱,zhou4,舞,wu3,鞠,ju1,可,ke3,E
57,"Good, well, or fine; expresses positive quality or approval. Also used to indicate completion or readiness.",adjective/adverb,好,hao3,218,"Common in greetings like 你好 (hello), responses like 好的 (okay), and descriptions like 很好 (very good)",夹,jia1,升,sheng1,茫,mang2,兹,zi1,好,hao3,E
58,"Pattern, standard, or style; also means grid or frame. Commonly used as a suffix in compound words to indicate format, character, or qualification.",noun,格,ge2,218,"Found in words like 性格 (personality), 风格 (style), 格子 (grid/checkered pattern), and 合格 (qualified)",毫,hao2,投,tou2,格,ge2,旅,lv3,优,you1,C
59,"An adverb meaning 'very' or 'quite' that intensifies adjectives and some verbs. In simple statements with adjectives, it's often used even when no strong emphasis is intended.",adverb,很,hen3,216,Essential in basic sentences like 我很好 (I'm fine/well) and 很大 (very big),袜,wa4,很,hen3,基,ji1,证,zheng4,糕,gao1,B
60,"Correct, right; also means 'to' or 'toward' when indicating direction or target of an action or attitude",adjective/preposition,对,dui4,208,"Used as an adjective (对/不对 right/wrong), preposition (对我说 say to me), or to express agreement",咧,lie3,挡,dang3,徒,tu2,兜,dou1,对,dui4,E
61,To walk or to go; to leave or depart from a place.,verb,走,zou3,206,"Common in everyday expressions like 走路 (to walk), 我走了 (I'm leaving)",眉,mei2,炉,lu2,居,ju1,痕,hen2,走,zou3,E
62,"To do, to act, or to be; commonly used to mean 'for' or 'for the sake of' when indicating purpose or beneficiary.",verb/preposition,为,wei4,205,"Often seen in phrases like 为了 (wei4le, in order to) and 因为 (yin1wei4, because)",为,wei4,躲,duo3,讥,ji1,框,kuang1,额,e2,A
63,The third-person singular feminine pronoun meaning 'she' or 'her' in English.,pronoun,她,ta1,205,"Used to refer to female people, as in 她是老师 (she is a teacher)",划,hua4,厚,hou4,她,ta1,芒,mang2,孪,luan2,C
64,"To know, to be aware of, or to understand something. This is one of the most common verbs for expressing knowledge or awareness.",verb,知,zhi1,205,"Found in common words like 知道 (zhīdào - to know), 通知 (tōngzhī - to notify), and 知识 (zhīshi - knowledge)",姐,jie3,掌,zhang3,标,biao1,知,zhi1,集,ji2,D
65,"A common Chinese surname (romanized as Luo or Law); also means to spread out, arrange in order, or catch with a net.",noun/verb,罗,luo2,204,"Most frequently encountered as a family name, as in 罗马 (Luómǎ, Rome) or in compound words",罗,luo2,拽,zhuai1,舍,she3,焦,jiao1,唇,chun2,A
66,"Eye; the organ of sight. Also used as a measure word for wells, springs, or glances.",noun,眼,yan3,201,"Common in words like 眼睛 (yǎnjing - eyes), 眼光 (yǎnguāng - vision/perspective)",至,zhi4,眼,yan3,惕,ti4,烟,yan1,况,kuang4,B
67,"Grace, favor, or kindness received from someone; benevolence or a good deed done for another person.",noun,恩,en1,195,Commonly seen in words like 恩人 (benefactor) and 感恩 (to be grateful),棕,zong1,束,shu4,雾,wu4,绵,mian2,恩,en1,E
68,Time or a specific point in time; also used as a measure word for hours.,noun,时,shi2,195,"Common in expressions like 小时 (hour), 时间 (time), and 当时 (at that time)",绪,xu4,移,yi2,咙,long2,讽,feng3,时,shi2,E
69,Means 'again' or 'also/both' to indicate repetition or addition. Often used to express that something happens once more or to connect two qualities or actions.,adverb,又,you4,191,"Common in patterns like 又...又... (both...and...) as in 又高又帅 (both tall and handsome), or to mean 'again' as in 他又来了 (he came again)",蹿,cuan1,悉,xi1,又,you4,透,tou4,鲜,xian1,C
70,Adverb meaning 'still' or 'yet' to indicate a continuing state or action. Also means 'in addition' or 'also' when expressing something additional.,adverb,还,hai2,189,"Common in phrases like 还有 (also have/there's more), 还是 (still/or), and 还在 (still at/doing)",冻,dong4,印,yin4,烁,shuo4,还,hai2,扔,reng1,D
71,"To open, turn on, or start something. Also means to drive (a vehicle) or to hold (a meeting).",verb,开,kai1,184,"Common in phrases like 开门 (open the door), 开车 (drive a car), 开会 (hold a meeting), 开灯 (turn on the light)",唤,huan4,观,guan1,开,kai1,姜,jiang1,炉,lu2,C
72,Sky or heaven; also means 'day' as a unit of time.,noun,天,tian1,178,"Common in words like 今天 (today), 明天 (tomorrow), and 天气 (weather)",蓝,lan2,择,ze2,久,jiu3,天,tian1,局,ju2,D
73,To study or learn; to imitate or follow. Also refers to a field of study or school (as in 学校).,verb/noun,学,xue2,175,"Common in words like 学习 (to study), 学生 (student), 大学 (university)",愁,chou2,学,xue2,介,jie4,套,tao4,淡,dan4,B
74,Self or oneself; also means 'from' when indicating a starting point in time or place.,pronoun/preposition,自,zi4,175,"Common in words like 自己 (oneself), 自然 (nature/natural), and 来自 (to come from)",自,zi4,散,san4,粉,fen3,寂,ji4,握,wo4,A
75,"Law, method, or way of doing something. Also commonly used as an abbreviation for France (法国) or Buddhism (佛法).",noun,法,fa3,174,"Found in words like 方法 (method), 法律 (law), 办法 (solution/way), and 语法 (grammar)",法,fa3,获,huo4,滚,gun3,竟,jing4,朗,lang3,A
76,"Air, gas, or breath; also refers to anger or vital energy. Can mean weather or smell depending on context.",noun,气,qi4,173,"Common in words like 天气 (weather), 生气 (to be angry), 空气 (air)",递,di4,酷,ku4,狠,hen3,稀,xi1,气,qi4,E
77,"A suffix or particle meaning 'so' or 'like that', often used to form adverbs or indicate a state of being. Commonly appears in compound words to express manner or condition.",particle/suffix,然,ran2,173,"Found in words like 当然 (of course), 自然 (natural), 突然 (suddenly), and 虽然 (although)",茸,rong1,仅,jin3,化,hua4,苍,cang1,然,ran2,E
78,To use or to employ something; can also mean 'with' when indicating the instrument or means of doing something.,verb,用,yong4,171,Common in phrases like 用筷子 (use chopsticks) or 不用 (no need to),跤,jiao1,区,qu1,用,yong4,孔,kong3,雾,wu4,C
79,"After, behind, or later in time or position; also means back or rear.",noun/localizer,后,hou4,170,"Common in words like 后面 (behind), 以后 (after/later), 然后 (then/afterwards)",嗦,suo,咆,pao2,后,hou4,页,ye4,搂,lou3,C
80,"A preposition meaning 'with', 'by means of', or 'in order to', used to indicate method, purpose, or reason. Also functions as a verb meaning 'to use' or 'to take' in classical Chinese.",preposition,以,yi3,169,"Common in phrases like 可以 (can/may), 所以 (therefore), and 以后 (after/later)",巷,xiang4,以,yi3,展,zhan3,猪,zhu1,佑,you4,B
81,Body or physical form; also refers to oneself or one's life/status.,noun,身,shen1,169,"Common in words like 身体 (body/health), 自身 (oneself), and 身份 (identity/status)",永,yong3,身,shen1,愁,chou2,荒,huang1,刊,kan1,B
82,"Means 'illustrious', 'grand', or 'impressive'; describes something or someone famous, prominent, or awe-inspiring.",adjective,赫,he4,167,"Commonly seen in names and formal expressions like 赫赫有名 (hèhè yǒumíng, very famous) or 显赫 (xiǎnhè, illustrious)",咝,si1,撕,si1,赫,he4,集,ji2,类,lei4,C
83,"To look into the distance, to gaze at, or to hope for something. Also means to expect or wish for a future outcome.",verb,望,wang4,166,"Common in words like 希望 (hope), 愿望 (wish), and 看望 (to visit someone)",望,wang4,叉,cha1,泥,ni2,适,shi4,增,zeng1,A
84,"To send, emit, or issue; to develop or happen. Also means hair when pronounced fà (4th tone).",verb,发,fa1,165,"Common in words like 发现 (discover), 发生 (happen), 发送 (send)",发,fa1,益,yi4,审,shen3,具,ju4,弃,qi4,A
85,Face or surface; also commonly means noodles in everyday usage. Can refer to the front side of something or an aspect/dimension of a situation.,noun,面,mian4,164,"Used in words like 面条 (noodles), 表面 (surface), 见面 (meet face-to-face), and 方面 (aspect)",面,mian4,憔,qiao2,耷,da1,抚,fu3,套,tao4,A
86,Hand; the body part at the end of the arm used for grasping and holding things.,noun,手,shou3,163,"Common in everyday expressions like 洗手 (wash hands), 右手 (right hand), and 手机 (mobile phone, literally 'hand machine')",搁,ge1,捡,jian3,裂,lie4,手,shou3,毯,tan3,D
87,"Means 'kind', 'type', 'manner', or 'appearance'; used to describe how something looks or what kind of thing it is.",noun/measure word,样,yang4,158,"Common in phrases like 这样 (this way/like this), 那样 (that way/like that), 怎么样 (how is it?), and 一样 (the same)",栖,qi1,环,huan2,逛,guang4,样,yang4,竭,jie2,D
88,A literary particle meaning 'this' or 'thus'; primarily used in formal or classical Chinese contexts and as a phonetic component in transliterating foreign names and words.,particle/phonetic component,斯,si1,156,"Commonly seen in transliterations like 斯坦福 (Stanford), 莫斯科 (Moscow), and formal expressions",髅,lou2,洲,zhou1,斯,si1,蟾,chan2,裹,guo3,C
89,"Oneself; self. A pronoun referring to one's own person, often used in formal or literary contexts.",pronoun,己,ji3,153,"Common in words like 自己 (zìjǐ - oneself) and 知己 (zhījǐ - close friend, literally 'one who knows oneself')",专,zhuan1,己,ji3,风,feng1,侮,wu3,熬,ao2,B
90,"Quick, agile, or sensitive in response or perception. Describes someone who is sharp, alert, or fast in thinking and reacting.",adjective,敏,min3,151,"Commonly used in words like 敏感 (sensitive), 敏捷 (agile), and 灵敏 (keen/sharp)",吻,wen3,刹,sha1,哐,kuang1,盈,ying2,敏,min3,E
91,To resemble or be like; to look like or seem. Also used as a noun meaning 'image' or 'portrait'.,verb/noun,像,xiang4,148,Common in comparisons like 他像他爸爸 (he looks like his father) or 看起来像 (it seems like),姜,jiang1,咝,si1,山,shan1,像,xiang4,竞,jing4,D
92,"Third-person pronoun meaning 'it', used to refer to animals, objects, and abstract concepts (not people).",pronoun,它,ta1,148,"Used for non-human subjects, like 它是一只猫 (it is a cat) or 它很重要 (it is important)",懂,dong3,肌,ji1,它,ta1,搂,lou3,填,tian2,C
93,"Superlative marker meaning 'most' or '-est', used before adjectives or verbs to indicate the highest degree",adverb,最,zui4,148,"Used in phrases like 最好 (best), 最大 (biggest), 最喜欢 (like the most)",莎,sha1,崽,zai3,漫,man4,最,zui4,架,jia4,D
94,"Matter, affair, thing, or event; refers to situations, activities, or tasks that need attention or have occurred.",noun,事,shi4,139,"Common in phrases like 没事 (it's nothing/no problem), 有事 (have something to do), and 事情 (matter/affair)",惜,xi1,琦,qi2,诱,you4,事,shi4,芒,mang2,D
95,"Meaning, idea, thought, or intention; refers to what someone thinks or intends to express or do.",noun,意,yi4,138,"Commonly appears in words like 意思 (meaning), 注意 (pay attention), 同意 (agree), and 意见 (opinion)",捉,zhuo1,累,lei4,意,yi4,败,bai4,蹼,pu3,C
96,To teach or instruct someone; to show or tell someone how to do something.,verb,教,jiao4,138,"Common in words like 教师 (teacher), 教室 (classroom), and phrases like 教我中文 (teach me Chinese)",闲,xian2,脆,cui4,教,jiao4,晶,jing1,侧,ce4,C
97,"Strange, unusual, or odd; also means wonderful or surprising in a positive sense.",adjective,奇,qi2,136,"Common in words like 奇怪 (strange), 好奇 (curious), and 神奇 (magical/miraculous)",唇,chun2,奇,qi2,鹅,e2,歉,qian4,跪,gui4,B
98,"Face; the front part of the head from forehead to chin. Also used figuratively to refer to dignity, reputation, or self-respect.",noun,脸,lian3,133,"Common in expressions like 洗脸 (wash face), 脸红 (blush/face turns red), and 丢脸 (lose face)",淹,yan1,脸,lian3,哈,ha1,幽,you1,饿,e4,B
99,"Child or son; also used as a diminutive suffix (儿化音) added to the end of words in northern Chinese dialects, especially in Beijing Mandarin.",noun/suffix,儿,er2,132,"As a standalone word means 'child/son' (儿子); as a suffix it softens words and is common in everyday speech (e.g., 玩儿 wánr 'to play', 花儿 huār 'flower')",伴,ban4,道,dao4,抚,fu3,儿,er2,爽,shuang3,D
100,A unit of weight measurement equal to one gram; also means to overcome or conquer.,noun/verb,克,ke4,132,Common in measurements like 公克 (gram) and compound words like 克服 (to overcome),克,ke4,区,qu1,起,qi3,盛,sheng4,棕,zong1,A
101,To listen or to hear; the primary verb for perceiving sound with your ears.,verb,听,ting1,130,Common in phrases like 听音乐 (listen to music) and 听说 (hear that/it is said),竞,jing4,唤,huan4,听,ting1,自,zi4,百,bai3,C
102,"Cloth or fabric; can also mean to announce, spread, or arrange something.",noun/verb,布,bu4,129,"Common in words like 布料 (fabric), 发布 (to release/announce), and 分布 (to distribute)",事,shi4,布,bu4,致,zhi4,娃,wa2,聚,ju4,B
103,"Front, forward, or before in space or time; the opposite of 后 (back/after).",noun/localizer,前,qian2,128,"Used in words like 前面 (in front), 以前 (before/previously), 前天 (day before yesterday)",前,qian2,蹿,cuan1,艳,yan4,给,gei3,帷,wei2,A
104,"Passive voice marker that indicates the subject receives an action, similar to 'by' in English passive constructions. Often implies an undesirable or negative outcome.",particle,被,bei4,127,"Used in patterns like 被...了 (was/were...), as in 我被骗了 (I was cheated)",亡,wang2,裤,ku4,被,bei4,慈,ci2,西,xi1,C
